subnet_uid,subnet_name,owner_ss58,alpha_price_tao,tao_emission_per_tempo,alpha_emission_per_tempo,emission_share_pct,top_miner_uid,top_miner_incentive
87,Luminar Network,5GquyFXCVX4dAB1GFNSfZemYZm43H8KWa1BSTjV9UKeSYt2x,0.004032492,0.339391071,1.0,0.8612,0,1.0
88,Investing,5FhMsGJS7WYdwBzcgsTWxEtY7UCYLZdmBVLcNPmCxr3ppiKS,0.004199351,0.4036516,1.0,1.0243,213,0.070161
89,InfiniteHash,5Dc5NmEUptDeMLrxDSvg8kfCToxJkiF47apAYSVTycAVvDN4,0.004399868,0.443228482,1.0,1.1247,58,1.0
90,,5CqrdkU4FuH8LdUjkq4YQFJbQiK1Bmf9q4fVpFuhrxGcGwbW,0.004543198,0.443773047,1.0,1.1261,0,1.0
91,Bitstarter #1,5CaYBBkGrFEpwYSVMCgsRMKbE4RhBPWqn2ipjqTkELEbQbpF,1.677933728,0.0,0.0,0.0,0,1.0
92,LUCID,5Ck9Wu6bQ923pPgb7KWfszAWo6uraNryxw88JLfmRx7xUBTT,0.003927157,0.408458236,1.0,1.0365,0,1.0
93,Bitcast,5FLfN276taTF6Ud62soChQhPNbtF2EPK4dr3pJB9oTsTpUvr,0.013127083,0.369581985,1.0,0.9378,0,0.75433
94,Bitsota,5EZRCK9op9piMhQvHqrEL1SNQU8ENU8s9aqGnRKNsUxmPYP2,0.004451501,0.455733422,1.0,1.1564,0,1.0
95,,5D5UhUuc6cC47CXUBHyBkpDBrdeyeL6bpWGAreZgNm5WTyrg,0.014649019,0.201576938,1.0,0.5115,0,1.0
96,FLock OFF,5D7bAeb7ybS72vpxsH9Wrutein45ZDp7a5Vi4uogsZ5BZnzJ,0.003714483,0.492929154,1.0,1.2508,235,1.0
97,FlameWire ð¥,5EXSiTySWQiuzowhogXzfCr4Xn45CW3oMELWGTxFEfQCTy86,0.003608828,0.290607598,1.0,0.7374,126,0.096437
98,ForeverMoney,5Dd9Q6yueRkH1fLTHa2xdEEPoMQiqenWKRMUtZKPTuvjRL3w,0.004724635,0.272376536,1.0,0.6911,0,1.0
99,Problems,5EADbTnNp5Wfs2G4G3LiR1nUVHgtCbkTAkHZqRgFpDUJMYMb,0.005454203,0.204744486,1.0,0.5195,0,1.0
100,PlaÏform,5FX6kmhYwTYRFaZjxEo7k9DaG8qRmqrJtLTMGRgnfjRcXiWU,0.016251138,0.266344468,1.0,0.6758,0,0.570779
101,,5H8dNvi1jZRe1dcYN2FdknWKxfGx6u1o9pYm5zRMCZyy2Ex3,0.004071066,0.376572747,1.0,0.9555,0,1.0
102,ViewCast,5DrE31CZ9bWLXu7ND5WpbV1ERqXf48vWaKKjvWda5JWTqfiW,0.004191555,0.475404522,1.0,1.2063,0,1.0
103,Djinn,5CcRAHrH5CjNhAMDU6iE2UaaDUx7EyZskUeXfkgn1pTULbh7,0.004816791,0.5,1.0,1.2687,0,0.96318
104,for sale (burn to uid1),5HBb3F1bmDzdwQ5WTweXUvnKETTzu6aWNAH811vrLkvSdQAn,0.004277198,0.5,1.0,1.2687,41,1.0
105,,5G3ic2pAzVu1gZmeUQfKGox3P8TetJw87asvyAdkb2o8aCCX,0.004186922,0.420303146,1.0,1.0665,0,1.0
106,VoidAI,5E5Ctr2D9SjvLwNn45UNhBpjuQ7QWuinMqpAXY1ueRfJr5PT,0.004886314,0.0,1.0,0.0,2,0.003983
107,Minos,5DA2vLrSXZxnT9G4Yrywx1Fpi4RXwMH1Ah7r8DTTWS7UZZBM,0.01313421,0.109630052,1.0,0.2782,0,1.0
108,TalkHead,5HDuqw9fkqG3xdm1yZA8dfKeLBnZhg138xiMwnYQdBeLfytT,0.00431673,0.48103505,1.0,1.2206,0,0.935439
109,Reserved,5GW6xj5wUpLBz7jCNp38FzkdS6DfeFdUTuvUjcn6uKH5krsn,0.004287883,0.314842858,1.0,0.7989,0,1.0
110,Rich Kids of TAO,5HKuDWu8y69RhSKaKenrby8rmWjTupyf4rNKjxn44saxcjkd,0.00478578,0.470715939,1.0,1.1944,0,1.0
111,oneoneone,5HKeYGvjWXKfB6VVtG4SBpRa87TyKYzc6n8pJKacStFwWyfZ,0.003974861,0.5,1.0,1.2687,0,0.259617
112,minotaur,5D7Rf7HbeE7ti49fyLg3TM3F96uWFUwzYBo9SkzBpAUTQMhM,0.005490332,0.272632507,1.0,0.6918,0,1.0
113,TensorUSD,5FZZ32NJHT1szHX1Y4X4L6uZ2iU4gFZQCoYSB65k8MDasvPU,0.004304257,0.471353692,1.0,1.196,0,1.0
114,SOMA,5FHrQMjzzAhmL5zS9ys87ZrGCwG3vsVT9hXAUWZQ8SNdRqig,0.006841198,0.268319346,1.0,0.6809,0,1.0
115,HashiChain,5EkNnrTjnMYaj4x1gNxAnJne9UvKgfU6NZNjhm6XFWMstbdG,0.008972695,0.207680426,1.0,0.527,0,1.0
116,TaoLend,5GgjJXbcDyiGenKGfPrPhRxJ7p91EdC22fcAAF4ccbATgu6H,0.003929388,0.499270345,1.0,1.2669,65,0.249989
117,BrainPlay,5CY4LpcYpCbwT7KnLZS4fdHZzd8ixBC8jeqevt64gfyo6nZe,0.004322355,0.363746569,1.0,0.923,0,0.950011
118,HODL ETF,5CdS9RLYMZzgHUCmQagpqzhVkJFoNxasLyaCMA72wY3GvGG5,0.003857337,0.386848307,1.0,0.9816,20,0.099214
119,Satori,5GbLENPLG8Takn1puaz5HorPmrFtDT7i2PojiJsqutbaGwWu,0.00850126,0.216409453,1.0,0.5491,0,1.0
120,Affine,5Fc3ZZQAYB3SPXKcFnd1WJeyQvArSZZeB6LU1rb7zvQ6XvDh,0.085852031,0.5,1.0,1.2687,208,0.323262
121,sundae_bar,5CXGaDJsffVeBK4CDhBNMVK6MH7fHbL7AbnjzZ8XP6QzFLWm,0.008604534,0.149833012,1.0,0.3802,0,1.0
122,Bitrecs,5H6fAdf7QsrZpLKyydA1pM9sxTK7qJx4S4jUgg6YMHr4Xzqs,0.006208814,0.159035015,1.0,0.4035,0,1.0
123,MANTIS,5HVuEdEGMYisecwjkWC7dKDPEzgs9cECdsdCQagfPRVf6FxZ,0.004758483,0.0,1.0,0.0,0,0.324849
124,Swarm,5CB6igqihC83cq9jTujmgeGutQfzRrJjCQzcDizmYDYXvcVC,0.007285976,0.5,1.0,1.2687,0,1.0
125,8 Ball,5DTzv2rL6YGQjCDNiWQJz2nE23fK1mDccH9eQimgiieyL3C4,0.008649401,0.5,1.0,1.2687,0,1.0
126,Poker44,5DqrUa2z6E9taJdY8FGiPCrtCswsEjHjPbVo5xcTw2GqvKZm,0.005536126,0.084600713,1.0,0.2147,0,1.0
127,Astrid,5FU4uxAdrZsaWaezWwXEK93MwPX5gw2566BQK2WwrGUudfSH,0.005151439,0.0,1.0,0.0,0,0.912032
128,ByteLeap,5GgMeLFN4YssT6f9i9pZpRmczt8GYDsCZ1nYPiGRcTPWn3AA,0.003923044,0.5,1.0,1.2687,101,0.044602
